target,ref,MHC_I_alpha1_alpha2,MHC_I_alpha1_alpha2_cov,peptide,peptide_cov,TCR_alpha_variable,TCR_alpha_variable_cov,TCR_beta_variable,TCR_beta_variable_cov,MHC_II_alpha1,MHC_II_alpha1_cov,MHC_II_beta1,MHC_II_beta1_cov
7RTR,1AO7,100.0,1.0,11.11111111111111,0.2222222222222222,86.91588785046729,0.9813084112149533,32.72727272727273,0.9553571428571429,,,,
7RTR,1BD2,100.0,1.0,11.11111111111111,0.2222222222222222,47.66355140186916,0.9813084112149533,33.63636363636363,0.963963963963964,,,,
7RTR,1FO0,72.37569060773481,1.0,0.0,0.1111111111111111,33.64485981308411,0.911504424778761,29.357798165137616,0.9727272727272728,,,,
7RTR,1G6R,72.37569060773481,1.0,12.5,0.4444444444444444,33.64485981308411,0.9722222222222222,35.51401869158879,0.9727272727272728,,,,
7RTR,1KJ2,72.37569060773481,1.0,25.0,0.7777777777777778,46.728971962616825,0.9722222222222222,31.818181818181817,0.9473684210526315,,,,
7RTR,1LP9,100.0,1.0,11.11111111111111,0.2222222222222222,35.51401869158879,0.9545454545454546,39.44954128440367,0.9727272727272728,,,,
7RTR,1MI5,81.00558659217877,0.988950276243094,33.333333333333336,1.0,25.233644859813083,0.9357798165137615,76.36363636363636,0.9821428571428571,,,,
7RTR,1MWA,71.8232044198895,1.0,12.5,0.3333333333333333,33.64485981308411,0.9722222222222222,35.51401869158879,0.9727272727272728,,,,
7RTR,1NAM,72.37569060773481,1.0,12.5,0.5555555555555556,33.64485981308411,0.911504424778761,29.09090909090909,0.9818181818181818,,,,
7RTR,1OGA,100.0,1.0,11.11111111111111,0.3333333333333333,37.62376237623762,0.9252336448598131,41.28440366972477,0.9727272727272728,,,,
7RTR,1QRN,100.0,1.0,11.11111111111111,0.2222222222222222,86.91588785046729,0.9813084112149533,32.72727272727273,0.9553571428571429,,,,
7RTR,1QSE,100.0,1.0,11.11111111111111,0.2222222222222222,86.91588785046729,0.9813084112149533,32.72727272727273,0.9553571428571429,,,,
7RTR,1QSF,100.0,1.0,22.22222222222222,0.2222222222222222,86.91588785046729,0.9813084112149533,32.72727272727273,0.9553571428571429,,,,
7RTR,2AK4,80.0,0.994475138121547,11.11111111111111,0.07692307692307693,37.38317757009346,0.9279279279279279,37.27272727272727,0.9727272727272728,,,,
7RTR,2BNQ,100.0,1.0,11.11111111111111,0.4444444444444444,41.12149532710281,0.9545454545454546,28.181818181818183,0.9727272727272728,,,,
7RTR,2BNR,100.0,1.0,11.11111111111111,0.4444444444444444,41.12149532710281,0.9545454545454546,28.181818181818183,0.9727272727272728,,,,
7RTR,2CKB,72.37569060773481,1.0,12.5,0.3333333333333333,33.64485981308411,0.9722222222222222,35.51401869158879,0.9727272727272728,,,,
7RTR,2E7L,69.88636363636364,0.9723756906077348,44.44444444444444,1.0,34.57943925233645,0.9722222222222222,34.57943925233645,0.9727272727272728,,,,
7RTR,2ESV,71.66666666666667,0.994475138121547,44.44444444444444,1.0,28.037383177570092,0.9439252336448598,51.37614678899082,0.9818181818181818,,,,
7RTR,2F53,100.0,1.0,11.11111111111111,0.4444444444444444,40.18691588785047,0.9545454545454546,28.181818181818183,0.9727272727272728,,,,
7RTR,2F54,100.0,1.0,11.11111111111111,0.4444444444444444,40.18691588785047,0.9545454545454546,28.181818181818183,0.9727272727272728,,,,
7RTR,2GJ6,100.0,1.0,11.11111111111111,0.2222222222222222,86.91588785046729,0.9813084112149533,32.72727272727273,0.9553571428571429,,,,
