pdb_id,d_dockq_t2_fewsteps,d_dockq_t3_onesample,d_dockq_t4_both,speedup_t2_fewsteps,speedup_t3_onesample,speedup_t4_both
24ST,0.03539999999999999,0.05610000000000004,0.027000000000000024,1.1410910740614721,1.6684908789386401,1.802400573271229
6ZKZ,-0.024600000000000066,-0.019100000000000006,-0.006700000000000039,1.1451853552163436,1.6643869891576313,1.79978354978355
7DZM,-0.012799999999999978,0.0,-0.012799999999999978,1.145362833887424,1.6654442407067844,1.801153776816297
7N5P,-0.0030000000000000027,-0.031299999999999994,-0.04849999999999999,1.1448811700182815,1.6674987518721915,1.8047550432276658
7NDQ,-0.015199999999999991,9.999999999998899e-05,0.07979999999999998,1.1456377375772842,1.66655562958028,1.802882882882883
7NMF,0.023400000000000087,0.02750000000000008,0.022199999999999998,1.143604915794265,1.6674962667994027,1.8052811208909647
7OW5,0.01770000000000005,-9.999999999998899e-05,-0.012800000000000034,1.144697833523375,1.667607973421927,1.8042774982027319
7OW6,-0.0050000000000000044,0.0,0.0014999999999999458,1.1444684972086134,1.6674966799468791,1.804707150556953
7PBC,0.016699999999999937,-0.0039000000000000146,0.016599999999999948,1.144257064721969,1.668106312292359,1.8048166786484543
7PHR,0.005800000000000027,-0.0024999999999999467,0.007400000000000073,1.143686667425709,1.6686046511627908,1.8056803882797052
7Q9A,0.0050000000000000044,9.999999999998899e-05,0.008400000000000074,1.143084441413797,1.667993366500829,1.8057450628366247
7Q9B,-0.013900000000000023,-0.0040999999999999925,-0.013900000000000023,1.1430681818181816,1.6678826065329133,1.8062488777159273
7QPJ,0.0049000000000000155,-0.03279999999999994,-0.008299999999999974,1.144110275689223,1.6679953496096993,1.804996405463695
7R80,-0.00539999999999996,-0.0016999999999999238,0.008400000000000074,1.1452092385090327,1.6662784894360338,1.8033849477853798
7RTR,-0.05500000000000005,-0.03770000000000007,-0.057599999999999985,1.1452706585449948,1.6638837869427283,1.7990612023831016
7T2C,-0.05270000000000008,-0.07110000000000005,-0.1038,1.143506936547646,1.6676616915422884,1.8053859964093355
8F5A,0.03180000000000005,-0.019899999999999918,-0.04279999999999995,1.141933287950987,1.6688774664234787,1.8034402436839274
8GON,-0.003699999999999981,0.00020000000000003348,-0.0041999999999999815,1.1427435839200546,1.6682692307692308,1.8050224215246637
8I5C,-0.007499999999999951,-9.999999999998899e-05,-0.007399999999999962,1.1426462237365134,1.6687676231547521,1.8046636771300448
8QFY,0.014100000000000001,0.014599999999999946,0.02639999999999998,1.1427111716621252,1.6688774664234787,1.8057050592034445
8RLU,0.02310000000000001,0.03750000000000009,0.021700000000000053,1.1413339382940106,1.6686567164179102,1.8032258064516127
8RLV,-0.007600000000000051,0.0021999999999999797,0.019399999999999973,1.1414473684210527,1.6685458464599572,1.8030818849668517
8RYM,-0.22210000000000008,-0.1371,-0.22130000000000005,1.1415768576290415,1.6685458464599572,1.8037282667144652
8V50,0.03709999999999991,0.0744999999999999,0.05589999999999995,1.1409776567993648,1.6672190918130594,1.8031905359383404
8WTE,-0.006399999999999961,-0.024499999999999966,0.027900000000000036,1.1425652667423383,1.6695969480842596,1.8052367288378768
8YE4,0.015199999999999991,0.04569999999999996,0.015199999999999991,1.141933287950987,1.6688774664234787,1.8040867538985481
9EJG,0.0030000000000000027,0.0,-0.0010000000000000009,1.140782756664776,1.6673851765876304,1.8034433285509326
9J4T,-0.01100000000000001,-0.036800000000000055,-0.0027000000000000357,1.1408961996596712,1.6675509865693916,1.8032992648377264
9RXM,-0.017199999999999993,-0.0383,-0.11680000000000001,1.141220508166969,1.6684908789386401,1.8033697795303818
9WC2,0.025500000000000078,-0.0022999999999999687,0.014100000000000001,1.1407508222751503,1.667993366500829,1.8025089605734768
